"make","mileage","model","vin","price_july_22","price_aug_11","percentage_of_difference"
"Chevrolet",36629,"Trax LS","3GNCJNSB2JL299668",22000.0,NULL,NULL
"Honda",31659,"Accord EX-L","1HGCT1B80GA007453",23995.0,NULL,NULL
"Hyundai",17929,"Sonata SE","5NPE24AF8KH736071",23616.0,NULL,NULL
"Honda",18005,"CR-V EX-L","7FARW2H87KE017348",32995.0,NULL,NULL
"Kia",506,"Telluride SX","5XYP5DHC0NG285130",59998.0,NULL,NULL
"Chevrolet",42630,"Blazer 2LT","3GNKBGRS9KS574020",35000.0,NULL,NULL
"Chevrolet",62671,"Silverado 1500 Custom","3GCPYBEH2KG186589",33995.0,NULL,NULL
"GMC",23875,"Yukon Denali","1GKS2DKL7MR109949",81950.0,NULL,NULL
"RAM",61369,"1500 Big Horn","1C6RR7LG9GS288184",27000.0,NULL,NULL
"Tesla",26475,"Model X Long Range","5YJXCDE22LF233696",99995.0,NULL,NULL
