"vin","year","make","model","used_or_new","price","sellertype","sellername","zipcode","dealtype","drivetrain","transmission","engine","mileage","difference","percentage_of_difference"
"5XYPG4A32LG669444",2020,"Kia","Sorento LX","Kia Certified",27995.00,"Dealer","Luther Nissan Kia",55077,"Good","Front-wheel Drive","6-Speed Automatic","2.4L I4 16V GDI DOHC",31171,NULL,NULL
"JF2SJAGCXJH549558",2018,"Subaru","Forester 2.5i Premium","Used",22900.00,"Dealer","Freeway Motors",55374,"Fair","All-wheel Drive","Automatic CVT","2.5L H4 16V MPFI DOHC",87931,NULL,NULL
"5XYPGDA3XLG637857",2020,"Kia","Sorento LX","Kia Certified",30893.00,"Dealer","Luther Nissan Kia",55077,"Good","All-wheel Drive","6-Speed Automatic","2.4L I4 16V GDI DOHC",17633,NULL,NULL
"3PCAJ5M30KF106410",2019,"INFINITI","QX50 ESSENTIAL","Used",33599.00,"Dealer","Walser Honda",55306,"Good","All-wheel Drive","Variable","Intercooled Turbo Premium Unleaded I-4 2.0 L/121",44585,NULL,NULL
"5TFDZ5BN3JX037498",2018,"Toyota","Tacoma TRD Sport","Used",44877.00,"Dealer","Burnsville Toyota",55306,"Fair","Four-wheel Drive","6-Speed Automatic","3.5L V6 24V PDI DOHC",13273,NULL,NULL
"3GNAXUEV8KL258761",2019,"Chevrolet","Equinox 1LT","Used",24399.00,"Dealer","West Salem Chevrolet",54669,"Great","All-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",39357,NULL,NULL
"3GNKBGRS3KS675604",2019,"Chevrolet","Blazer 2LT","Used",35500.00,"Dealer","Morrie's Brooklyn Park Subaru",55445,"Good","All-wheel Drive","9-Speed Automatic","3.6L V6 24V GDI DOHC",43857,NULL,NULL
"3GNAXUEV9ML379172",2021,"Chevrolet","Equinox 1LT","Used",28998.00,"Dealer","Walser Buick GMC Bloomington",55437,"Good","All-wheel Drive","Automatic","Turbocharged Gas I4 1.5L/92",15718,NULL,NULL
"5J6RM4H72EL104137",2014,"Honda","CR-V EX-L","Used",23000.00,"Dealer","Luther Brookdale Volkswagen",55429,"Good","All-wheel Drive","5-Speed Automatic","2.4L I4 16V MPFI DOHC",37512,NULL,NULL
"1C4RJFAG5LC177519",2020,"Jeep","Grand Cherokee Altitude","Used",39990.00,"Dealer","Schwieters Ford of Montevideo",56265,"Good","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",44089,NULL,NULL
"1GNSKTKL8MR422814",2021,"Chevrolet","Tahoe High Country","Used",76731.00,"Dealer","Lupient KIA Nissan",55445,"Good","Four-wheel Drive","10-Speed Automatic","6.2L V8 16V GDI OHV",24633,NULL,NULL
"MAJ3P1TEXJC199912",2018,"Ford","EcoSport SE","Ford Certified",22599.00,"Dealer","Apple Ford Lincoln Apple Valley",55124,"Good","Front-wheel Drive","6-Speed Automatic","1.0L I3 12V GDI DOHC Turbo",14100,NULL,NULL
"JTEBU5JR6L5794528",2020,"Toyota","4Runner SR5","Used",38699.00,"Dealer","Lexus of Maplewood",55109,"Great","Four-wheel Drive","5-Speed Automatic","4.0L V6 24V MPFI DOHC",42493,NULL,NULL
"1C4RJFAG8LC415475",2020,"Jeep","Grand Cherokee Altitude","Used",40990.00,"Dealer","Marthaler Chevrolet of Glenwood",56334,"Good","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",13319,NULL,NULL
"1C4HJXDNXMW610635",2021,"Jeep","Wrangler Unlimited Sport Altitude","Used",47290.00,"Dealer","Pischke Motors of La Crosse",54601,"Good","Four-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",15267,NULL,NULL
"1GKKNSLS0HZ218390",2017,"GMC","Acadia SLE-2","Used",23599.00,"Dealer","Walser Honda",55306,"Great","All-wheel Drive","Automatic","Gas V6 3.6L/223",80403,NULL,NULL
"2GNAXKEV6K6133993",2019,"Chevrolet","Equinox 1LT","Chevrolet Certified",22990.00,"Dealer","Marthaler Chevrolet of Glenwood",56334,"Great","Front-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",48530,NULL,NULL
"1GKS2JKL2MR142078",2021,"GMC","Yukon XL Denali","Used",88998.00,"Dealer","Walser Buick GMC Bloomington",55437,"Fair","Four-wheel Drive","Automatic","Gas V8 6.2L/",12877,NULL,NULL
