Year,Make,Model,used_or_new,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2019,Volkswagen,Atlas 3.6L SE w/Technology,Volkswagen Certified,"$39,975 ",4.5,132,Dealer,Luther Westside VW,4.7,5158,2370 Highway 100 S Minneapolis,MN,55416,Good,4.7,4.6,4.3,4.5,4.7,4.4,All-wheel Drive,17,23,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2UR2CA9KC562647,PQ30774,36999
2018,Volkswagen,Tiguan 2.0T SE,Used,"$23,475 ",4.8,249,Dealer,Luther Westside VW,4.7,5158,2370 Highway 100 S Minneapolis,MN,55416,Good,4.8,4.9,4.5,4.7,4.9,4.8,All-wheel Drive,21,27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VV2B7AX6JM122188,26255B,76396
2019,RAM,1500 Big Horn,RAM Certified,"$40,250 ",4.7,474,Dealer,Dodge RAM of Burnsville,4.7,580,12101 I-35W Burnsville,MN,55337,Good,4.8,4.9,4.7,4.5,4.8,4.5,Four-wheel Drive,19,24,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C6RRFFG3KN816590,U5984,16984
2019,RAM,1500 Laramie,RAM Certified,"$47,500 ",4.7,474,Dealer,Dodge RAM of Burnsville,4.7,580,12101 I-35W Burnsville,MN,55337,Good,4.8,4.9,4.7,4.5,4.8,4.5,Four-wheel Drive,19,24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFJT4KN774906,N68565A,26625
2017,Jeep,Grand Cherokee Limited,Used,"$29,500 ",4.8,334,Dealer,Dodge RAM of Burnsville,4.7,580,12101 I-35W Burnsville,MN,55337,Great,4.8,4.8,4.7,4.6,4.8,4.8,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBGXHC891328,U5973B,53568
2016,Honda,CR-V SE,Used,"$22,995 ",4.6,383,Dealer,Alfa Romeo of Minneapolis,4.8,757,1820 QUENTIN AVENUE SOUTH ST. LOUIS PARK,MN,55416,Good,4.6,4.5,4.6,4.6,4.7,4.7,All-wheel Drive,25,31,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,5J6RM4H40GL103464,W5796,54718
2020,Ford,Edge SEL,Used,"$26,997 ",4.9,141,Dealer,Hertz Car Sales Minneapolis,5,3,12750 W. Frontage Rd. Burnsville,MN,55337,Great,4.9,4.9,4.9,4.8,4.9,4.9,All-wheel Drive,21,28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2FMPK4J97LBA15252,42370,60341
2016,GMC,Canyon SLT,Used,"$35,259 ",4.4,64,Dealer,Lupient Buick GMC,4.2,165,7100 Wayzata Blvd Golden Valley,MN,55426,Fair,4.5,4.4,4.2,4.1,4.6,4.2,Four-wheel Drive,17,24,Diesel,6-Speed Automatic,2.8L I4 16V DDI DOHC Turbo Diesel,1GTP6DE13G1243862,G22118C,38932
2019,Hyundai,Sonata SE,Used,"$22,985 ",4.8,152,Dealer,Rudy Luther Toyota,4.8,3415,8805 Wayzata Blvd Minneapolis,MN,55426,Good,4.9,4.8,4.7,4.8,4.8,4.8,Front-wheel Drive,26,35,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,5NPE24AF8KH739746,P32507,29900
2019,Audi,Q5 2.0T Premium Plus,Used,"$41,331 ",4.7,42,Dealer,Audi Minneapolis,4.8,1100,9393 Wayzata Blvd Minneapolis,MN,55426,Good,4.8,4.6,4.7,4.5,4.7,4.7,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1BNAFY0K2034292,P61509,29793
2019,Volkswagen,Atlas 3.6L SE w/Technology,Volkswagen Certified,"$33,280 ",4.5,132,Dealer,Volkswagen of Inver Grove,4.9,751,1325 50th St E Inver Grove Heights,MN,55077,Good,4.7,4.6,4.3,4.5,4.7,4.4,All-wheel Drive,17,23,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2UR2CA5KC532531,IG0134LA,62294
2019,Toyota,RAV4 LE,Toyota Certified,"$29,973 ",4.6,444,Dealer,Inver Grove Toyota,4.8,2152,1037 50th Street East Inver Grove Heights,MN,55077,Great,4.6,4.6,4.4,4.4,4.7,4.6,All-wheel Drive,25,33,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2T3F1RFV8KC004036,A10662,37866
